iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0956,12.0,28.0,0.0605,12.0,33.0,0.0384,12.0,51.0
2.0,0.1249,12.0,26.0,0.0865,12.0,33.0,0.0722,12.0,44.0
3.0,0.147,11.0,23.0,0.0818,11.0,27.0,0.0587,11.0,47.0
4.0,0.2055,12.0,26.0,0.0831,12.0,32.0,0.0616,12.0,49.0
5.0,0.0882,11.0,27.0,0.0492,11.0,35.0,0.0318,11.0,51.0
6.0,0.0763,10.0,24.0,0.0422,10.0,32.0,0.03,10.0,43.0
7.0,0.089,12.0,25.0,0.0446,12.0,29.0,0.029,12.0,43.0
8.0,0.0786,11.0,24.0,0.0478,11.0,30.0,0.0329,11.0,49.0
9.0,0.0891,11.0,22.0,0.0904,11.0,27.0,0.0322,11.0,41.0
10.0,0.0738,12.0,25.0,0.0457,12.0,30.0,0.0309,12.0,46.0
11.0,0.0849,12.0,23.0,0.0434,12.0,28.0,0.0285,12.0,38.0
12.0,0.0863,12.0,26.0,0.0483,12.0,27.0,0.0324,12.0,48.0
13.0,0.084,11.0,26.0,0.0452,11.0,30.0,0.0295,11.0,50.0
14.0,0.0785,12.0,24.0,0.0852,12.0,29.0,0.0324,12.0,43.0
15.0,0.0744,11.0,29.0,0.0443,11.0,38.0,0.0275,11.0,48.0
16.0,0.0899,11.0,25.0,0.0472,11.0,29.0,0.0319,11.0,46.0
17.0,0.0682,10.0,23.0,0.0413,10.0,27.0,0.0262,10.0,47.0
18.0,0.0834,12.0,23.0,0.0485,12.0,29.0,0.0302,12.0,51.0
19.0,0.0736,11.0,24.0,0.0445,11.0,30.0,0.0307,11.0,45.0
20.0,0.1292,11.0,24.0,0.0461,11.0,27.0,0.0317,11.0,47.0
21.0,0.0753,11.0,28.0,0.0434,11.0,34.0,0.0265,11.0,44.0
22.0,0.0929,12.0,27.0,0.0491,12.0,32.0,0.0321,12.0,48.0
23.0,0.076,12.0,28.0,0.0458,12.0,34.0,0.0297,12.0,50.0
24.0,0.0842,11.0,25.0,0.0466,11.0,28.0,0.0313,11.0,45.0
25.0,0.0788,11.0,27.0,0.049,11.0,33.0,0.0753,11.0,47.0
26.0,0.0766,11.0,26.0,0.0454,11.0,32.0,0.0283,11.0,46.0
27.0,0.0859,11.0,25.0,0.0445,11.0,31.0,0.0285,11.0,45.0
28.0,0.0714,11.0,28.0,0.0433,11.0,33.0,0.0288,11.0,45.0
29.0,0.0912,11.0,27.0,0.047,11.0,33.0,0.0297,11.0,48.0
30.0,0.0769,11.0,27.0,0.0474,11.0,30.0,0.0303,11.0,50.0
31.0,0.1172,10.0,27.0,0.0395,10.0,32.0,0.0248,10.0,45.0
32.0,0.0733,12.0,30.0,0.0448,12.0,37.0,0.0288,12.0,54.0
33.0,0.0887,10.0,27.0,0.044,10.0,33.0,0.0285,10.0,46.0
