,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.1107,3.0,5.0,0.0709,3.0,6.0,0.0525,3.0,15.0
1,2.0,0.0919,3.0,6.0,0.0736,3.0,6.0,0.055,3.0,15.0
2,3.0,0.0975,3.0,5.0,0.0746,3.0,5.0,0.0595,3.0,15.0
3,4.0,0.0886,3.0,5.0,0.0703,3.0,6.0,0.0526,3.0,15.0
4,5.0,0.1106,3.0,5.0,0.0688,3.0,8.0,0.0521,3.0,15.0
5,6.0,0.089,3.0,5.0,0.0696,3.0,7.0,0.0526,3.0,15.0
6,7.0,0.0937,3.0,5.0,0.0702,3.0,6.0,0.0546,3.0,15.0
7,8.0,0.1216,3.0,5.0,0.2602,3.0,5.0,0.0536,3.0,15.0
8,9.0,0.1126,3.0,5.0,0.0717,3.0,6.0,0.0575,3.0,15.0
9,10.0,0.0924,3.0,5.0,0.0746,3.0,5.0,0.054,3.0,15.0
10,11.0,0.0916,3.0,5.0,0.07,3.0,5.0,0.0545,3.0,15.0
11,12.0,0.0907,3.0,4.0,0.0706,3.0,8.0,0.0776,3.0,15.0
12,13.0,0.0871,3.0,6.0,0.0726,3.0,6.0,0.0546,3.0,15.0
13,14.0,0.0901,3.0,4.0,0.069,3.0,5.0,0.0526,3.0,15.0
14,15.0,0.0886,3.0,4.0,0.0692,3.0,4.0,0.0539,3.0,15.0
15,16.0,0.1216,3.0,5.0,0.0715,3.0,6.0,0.0556,3.0,15.0
16,17.0,0.0926,3.0,5.0,0.0716,3.0,6.0,0.053,3.0,15.0
17,18.0,0.0966,3.0,4.0,0.0717,3.0,4.0,0.053,3.0,15.0
18,19.0,0.0943,3.0,5.0,0.072,3.0,6.0,0.0535,3.0,15.0
19,20.0,0.0945,3.0,5.0,0.0766,3.0,6.0,0.0561,3.0,15.0
20,21.0,0.0995,3.0,5.0,0.0742,3.0,7.0,0.0546,3.0,15.0
21,22.0,0.0926,3.0,4.0,0.0696,3.0,5.0,0.056,3.0,15.0
22,23.0,0.1126,3.0,5.0,0.0706,3.0,7.0,0.0544,3.0,15.0
23,24.0,0.1227,3.0,6.0,0.1398,3.0,8.0,0.0556,3.0,15.0
24,25.0,0.0906,3.0,4.0,0.0696,3.0,6.0,0.0545,3.0,15.0
25,26.0,0.0926,3.0,4.0,0.0706,3.0,6.0,0.0765,3.0,15.0
26,27.0,0.0952,3.0,5.0,0.0727,3.0,5.0,0.054,3.0,15.0
27,28.0,0.0862,3.0,4.0,0.0668,3.0,4.0,0.053,3.0,15.0
28,29.0,0.0922,3.0,4.0,0.073,3.0,5.0,0.0526,3.0,15.0
29,30.0,0.1126,3.0,4.0,0.0737,3.0,4.0,0.053,3.0,15.0
30,31.0,0.0896,3.0,5.0,0.0707,3.0,5.0,0.0545,3.0,15.0
31,32.0,0.0914,3.0,4.0,0.0701,3.0,5.0,0.0526,3.0,15.0
32,33.0,0.0947,3.0,5.0,0.0926,3.0,6.0,0.0556,3.0,15.0
