,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.0014,3.0,2.0,0.0004,3.0,2.0,0.0002,3.0,2.0
1,2.0,0.0013,5.0,3.0,0.0005,5.0,4.0,0.0004,5.0,3.0
2,3.0,0.0012,4.0,3.0,0.0003,4.0,3.0,0.0003,4.0,3.0
3,4.0,0.0009,3.0,2.0,0.0003,3.0,3.0,0.0002,3.0,2.0
4,5.0,0.001,3.0,2.0,0.0003,3.0,2.0,0.0002,3.0,2.0
5,6.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
6,7.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
7,8.0,0.001,3.0,3.0,0.0003,3.0,3.0,0.0002,3.0,3.0
8,9.0,0.0011,4.0,3.0,0.0005,4.0,3.0,0.0003,4.0,3.0
9,10.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
10,11.0,0.0007,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
11,12.0,0.0009,3.0,2.0,0.0003,3.0,3.0,0.0002,3.0,2.0
12,13.0,0.0007,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
13,14.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
14,15.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
15,16.0,0.0011,4.0,3.0,0.0004,4.0,3.0,0.0003,4.0,3.0
16,17.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
17,18.0,0.0007,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
18,19.0,0.001,3.0,3.0,0.0003,3.0,3.0,0.0002,3.0,3.0
19,20.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
20,21.0,0.0013,4.0,3.0,0.0004,4.0,3.0,0.0003,4.0,3.0
21,22.0,0.0015,5.0,3.0,0.0005,5.0,4.0,0.0004,5.0,3.0
22,23.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
23,24.0,0.001,3.0,2.0,0.0003,3.0,2.0,0.0002,3.0,2.0
24,25.0,0.0009,3.0,2.0,0.0003,3.0,2.0,0.0002,3.0,2.0
25,26.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
26,27.0,0.0012,4.0,3.0,0.0003,4.0,3.0,0.0003,4.0,3.0
27,28.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
28,29.0,0.001,3.0,2.0,0.0003,3.0,2.0,0.0002,3.0,2.0
29,30.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
30,31.0,0.001,3.0,2.0,0.0003,3.0,2.0,0.0002,3.0,2.0
31,32.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
32,33.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
33,1.0,0.0081,4.0,7.0,0.004,4.0,7.0,0.0031,4.0,8.0
34,2.0,0.0071,5.0,7.0,0.0035,5.0,7.0,0.0027,5.0,7.0
35,3.0,0.0083,4.0,7.0,0.0038,4.0,7.0,0.0032,4.0,9.0
36,4.0,0.0064,3.0,5.0,0.0028,3.0,5.0,0.0023,3.0,5.0
37,5.0,0.0075,4.0,7.0,0.0035,4.0,7.0,0.003,4.0,10.0
38,6.0,0.0064,3.0,6.0,0.0028,3.0,6.0,0.0024,3.0,6.0
39,7.0,0.0067,4.0,7.0,0.0031,4.0,7.0,0.0025,4.0,7.0
40,8.0,0.0065,3.0,5.0,0.003,3.0,5.0,0.0025,3.0,6.0
41,9.0,0.0071,5.0,6.0,0.0035,5.0,7.0,0.0026,5.0,8.0
42,10.0,0.0058,3.0,6.0,0.0026,3.0,7.0,0.0021,3.0,8.0
43,11.0,0.0067,5.0,7.0,0.0032,5.0,7.0,0.0027,5.0,9.0
44,12.0,0.0072,3.0,6.0,0.0035,3.0,6.0,0.0026,3.0,7.0
45,13.0,0.0077,4.0,7.0,0.0037,4.0,7.0,0.0029,4.0,9.0
46,14.0,0.0064,3.0,5.0,0.0029,3.0,5.0,0.0024,3.0,5.0
47,15.0,0.0072,4.0,8.0,0.0034,4.0,8.0,0.0028,4.0,12.0
48,16.0,0.0065,4.0,6.0,0.0031,4.0,6.0,0.0024,4.0,7.0
49,17.0,0.007,4.0,5.0,0.0032,4.0,5.0,0.0028,4.0,5.0
50,18.0,0.0062,4.0,6.0,0.0029,4.0,6.0,0.0024,4.0,8.0
51,19.0,0.0065,4.0,5.0,0.0029,4.0,6.0,0.0026,4.0,7.0
52,20.0,0.0059,3.0,5.0,0.0028,3.0,5.0,0.0022,3.0,6.0
53,21.0,0.0062,4.0,6.0,0.003,4.0,6.0,0.0025,4.0,9.0
54,22.0,0.0069,5.0,6.0,0.0032,5.0,6.0,0.0027,5.0,8.0
55,23.0,0.006,4.0,8.0,0.0028,4.0,8.0,0.002,4.0,10.0
56,24.0,0.0062,3.0,7.0,0.003,3.0,7.0,0.0023,3.0,8.0
57,25.0,0.0061,3.0,6.0,0.0027,3.0,6.0,0.0023,3.0,8.0
58,26.0,0.0069,3.0,8.0,0.0036,3.0,8.0,0.0028,3.0,9.0
59,27.0,0.0066,4.0,6.0,0.0031,4.0,6.0,0.0026,4.0,10.0
60,28.0,0.0062,3.0,7.0,0.0032,3.0,7.0,0.0027,3.0,9.0
61,29.0,0.0073,4.0,6.0,0.0036,4.0,6.0,0.003,4.0,8.0
62,30.0,0.0069,4.0,6.0,0.0031,4.0,6.0,0.0022,4.0,8.0
63,31.0,0.0077,4.0,7.0,0.0037,4.0,7.0,0.0025,4.0,9.0
64,32.0,0.0061,3.0,8.0,0.0027,3.0,8.0,0.002,3.0,11.0
65,33.0,0.0071,3.0,7.0,0.0029,3.0,7.0,0.0023,3.0,9.0
66,1.0,0.0153,4.0,8.0,0.0084,4.0,8.0,0.0073,4.0,12.0
67,2.0,0.0136,5.0,7.0,0.0071,5.0,7.0,0.0059,5.0,8.0
68,3.0,0.0141,4.0,8.0,0.0077,4.0,8.0,0.0067,4.0,11.0
69,4.0,0.0135,4.0,8.0,0.0071,4.0,9.0,0.0057,4.0,10.0
70,5.0,0.0613,4.0,8.0,0.0081,4.0,8.0,0.0066,4.0,11.0
71,6.0,0.0121,3.0,8.0,0.0063,3.0,8.0,0.0052,3.0,9.0
72,7.0,0.0136,4.0,7.0,0.0078,4.0,7.0,0.0061,4.0,7.0
73,8.0,0.0126,3.0,7.0,0.0071,3.0,7.0,0.0057,3.0,7.0
74,9.0,0.0154,5.0,7.0,0.0085,5.0,7.0,0.007,5.0,9.0
75,10.0,0.0155,5.0,8.0,0.0087,5.0,8.0,0.0073,5.0,10.0
76,11.0,0.0149,5.0,7.0,0.0078,5.0,7.0,0.0066,5.0,10.0
77,12.0,0.0143,3.0,7.0,0.007,3.0,7.0,0.0058,3.0,9.0
78,13.0,0.0129,4.0,7.0,0.0066,4.0,8.0,0.0056,4.0,11.0
79,14.0,0.0122,3.0,7.0,0.0062,3.0,8.0,0.0051,3.0,9.0
80,15.0,0.0137,4.0,8.0,0.0073,4.0,8.0,0.006,4.0,12.0
81,16.0,0.013,4.0,7.0,0.0076,4.0,7.0,0.0065,4.0,8.0
82,17.0,0.0155,4.0,6.0,0.0084,4.0,7.0,0.0073,4.0,9.0
83,18.0,0.0139,4.0,8.0,0.0068,4.0,9.0,0.0057,4.0,10.0
84,19.0,0.0152,4.0,7.0,0.0081,4.0,8.0,0.0065,4.0,9.0
85,20.0,0.0134,4.0,7.0,0.0073,4.0,7.0,0.006,4.0,8.0
86,21.0,0.0143,4.0,6.0,0.0075,4.0,6.0,0.0065,4.0,10.0
87,22.0,0.0141,5.0,6.0,0.0076,5.0,6.0,0.0065,5.0,9.0
88,23.0,0.0148,4.0,8.0,0.0077,4.0,8.0,0.0066,4.0,12.0
89,24.0,0.0153,4.0,8.0,0.0083,4.0,8.0,0.0068,4.0,10.0
90,25.0,0.015,5.0,7.0,0.0083,5.0,7.0,0.0066,5.0,11.0
91,26.0,0.0147,3.0,8.0,0.007,3.0,8.0,0.0057,3.0,10.0
92,27.0,0.0125,4.0,7.0,0.0068,4.0,7.0,0.0058,4.0,10.0
93,28.0,0.0124,4.0,8.0,0.0064,4.0,9.0,0.0053,4.0,12.0
94,29.0,0.0138,4.0,7.0,0.0073,4.0,7.0,0.0061,4.0,10.0
95,30.0,0.0137,4.0,7.0,0.0076,4.0,7.0,0.0064,4.0,8.0
96,31.0,0.0148,4.0,8.0,0.0076,4.0,9.0,0.0065,4.0,12.0
97,32.0,0.0136,3.0,8.0,0.007,3.0,9.0,0.0058,3.0,11.0
98,33.0,0.015,5.0,8.0,0.0083,5.0,8.0,0.0066,5.0,10.0
99,1.0,0.045,4.0,8.0,0.0292,4.0,9.0,0.0271,4.0,12.0
100,2.0,0.0465,5.0,8.0,0.0309,5.0,9.0,0.0274,5.0,12.0
101,3.0,0.0441,4.0,8.0,0.0274,4.0,10.0,0.0257,4.0,13.0
102,4.0,0.0444,4.0,8.0,0.026,4.0,9.0,0.0226,4.0,12.0
103,5.0,0.0438,4.0,8.0,0.0285,4.0,8.0,0.0256,4.0,13.0
104,6.0,0.0469,4.0,8.0,0.029,4.0,10.0,0.0248,4.0,13.0
105,7.0,0.0433,4.0,8.0,0.0284,4.0,9.0,0.0258,4.0,12.0
