,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.1757,4.0,8.0,0.0974,4.0,10.0,0.0171,4.0,37.0
1,2.0,0.1178,5.0,8.0,0.0734,5.0,12.0,0.0165,5.0,32.0
2,3.0,0.1276,5.0,8.0,0.0826,5.0,11.0,0.0182,5.0,30.0
3,4.0,0.1045,5.0,8.0,0.0631,5.0,10.0,0.017,5.0,30.0
4,5.0,0.135,5.0,8.0,0.0618,5.0,9.0,0.0155,5.0,26.0
5,6.0,0.1074,5.0,9.0,0.0617,5.0,11.0,0.0172,5.0,35.0
6,7.0,0.1088,5.0,7.0,0.0628,5.0,10.0,0.0156,5.0,34.0
7,8.0,0.1279,4.0,7.0,0.0823,4.0,11.0,0.0152,4.0,29.0
8,9.0,0.124,5.0,8.0,0.0756,5.0,12.0,0.0211,5.0,35.0
9,10.0,0.1613,5.0,7.0,0.1003,5.0,10.0,0.0211,5.0,36.0
10,11.0,0.1451,5.0,8.0,0.0724,5.0,11.0,0.0187,5.0,29.0
11,12.0,0.1306,4.0,8.0,0.0822,4.0,9.0,0.018,4.0,33.0
12,13.0,0.1416,4.0,7.0,0.0816,4.0,11.0,0.0155,4.0,34.0
13,14.0,0.1285,5.0,8.0,0.0717,5.0,11.0,0.0185,5.0,31.0
14,15.0,0.121,4.0,8.0,0.0765,4.0,12.0,0.0185,4.0,33.0
15,16.0,0.1299,5.0,8.0,0.0772,5.0,12.0,0.0196,5.0,34.0
16,17.0,0.1566,5.0,8.0,0.0927,5.0,11.0,0.0196,5.0,36.0
17,18.0,0.1461,4.0,8.0,0.083,4.0,10.0,0.0158,4.0,34.0
18,19.0,0.1568,4.0,8.0,0.0914,4.0,9.0,0.0172,4.0,37.0
19,20.0,0.1112,5.0,8.0,0.067,5.0,9.0,0.017,5.0,32.0
20,21.0,0.1233,4.0,8.0,0.0737,4.0,12.0,0.0172,4.0,34.0
21,22.0,0.1419,5.0,8.0,0.0691,5.0,12.0,0.018,5.0,29.0
22,23.0,0.1322,5.0,8.0,0.0803,5.0,11.0,0.02,5.0,31.0
23,24.0,0.1257,5.0,8.0,0.0843,5.0,10.0,0.0212,5.0,32.0
24,25.0,0.1378,5.0,8.0,0.0782,5.0,12.0,0.017,5.0,35.0
25,26.0,0.0929,5.0,8.0,0.057,5.0,9.0,0.02,5.0,26.0
26,27.0,0.1199,4.0,7.0,0.0738,4.0,9.0,0.018,4.0,28.0
27,28.0,0.1359,4.0,7.0,0.0673,4.0,10.0,0.0156,4.0,32.0
28,29.0,0.1256,5.0,8.0,0.0748,5.0,12.0,0.0191,5.0,31.0
29,30.0,0.1442,4.0,7.0,0.089,4.0,10.0,0.0176,4.0,33.0
30,31.0,0.1332,4.0,7.0,0.0799,4.0,9.0,0.0181,4.0,34.0
31,32.0,0.1001,4.0,8.0,0.0581,4.0,11.0,0.016,4.0,29.0
32,33.0,0.1196,4.0,7.0,0.0691,4.0,9.0,0.0444,4.0,29.0
