iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,3.89,3.0,5.0,2.6041,3.0,8.0,0.0683,3.0,39.0
2.0,4.7439,3.0,5.0,3.2933,3.0,8.0,0.0758,3.0,36.0
3.0,4.7816,3.0,5.0,3.3035,3.0,8.0,0.0818,3.0,37.0
4.0,3.6049,4.0,6.0,2.2561,4.0,7.0,0.067,4.0,36.0
5.0,4.7014,4.0,5.0,3.079,4.0,8.0,0.0853,4.0,37.0
6.0,4.1872,3.0,5.0,2.8157,3.0,8.0,0.0726,3.0,32.0
7.0,3.9765,3.0,5.0,2.6214,3.0,7.0,0.0739,3.0,35.0
8.0,4.928,3.0,5.0,3.0617,3.0,8.0,0.0723,3.0,31.0
9.0,3.7369,3.0,5.0,2.4404,3.0,8.0,0.0758,3.0,37.0
10.0,4.3374,3.0,4.0,2.8127,3.0,7.0,0.0735,3.0,36.0
11.0,4.3475,3.0,5.0,2.8572,3.0,7.0,0.0853,3.0,37.0
12.0,4.7351,3.0,5.0,3.0794,3.0,7.0,0.0796,3.0,36.0
13.0,4.4077,3.0,5.0,2.8018,3.0,9.0,0.0831,3.0,39.0
14.0,4.0022,3.0,6.0,2.5879,3.0,8.0,0.0658,3.0,38.0
15.0,4.7644,3.0,5.0,2.9147,3.0,7.0,0.0796,3.0,38.0
16.0,4.1968,3.0,5.0,2.5887,3.0,8.0,0.0772,3.0,36.0
17.0,4.7127,3.0,5.0,3.0712,3.0,7.0,0.0796,3.0,34.0
18.0,4.305,3.0,5.0,2.9559,3.0,7.0,0.0765,3.0,35.0
19.0,4.6307,3.0,5.0,3.0841,3.0,9.0,0.0757,3.0,36.0
20.0,4.0616,3.0,5.0,2.696,3.0,8.0,0.0676,3.0,38.0
21.0,4.6039,3.0,5.0,3.0143,3.0,6.0,0.0728,3.0,35.0
22.0,4.2036,3.0,5.0,2.7242,3.0,6.0,0.1373,3.0,35.0
23.0,4.1951,3.0,5.0,2.6087,3.0,7.0,0.1404,3.0,37.0
24.0,3.7512,3.0,5.0,2.3497,3.0,7.0,0.0723,3.0,36.0
25.0,4.2239,3.0,5.0,2.5833,3.0,8.0,0.0707,3.0,40.0
26.0,4.1993,4.0,5.0,2.8216,4.0,6.0,0.0761,4.0,36.0
27.0,4.4676,3.0,4.0,2.9682,3.0,8.0,0.0756,3.0,36.0
28.0,4.0048,4.0,4.0,2.5923,4.0,7.0,0.0781,4.0,37.0
29.0,4.5603,4.0,5.0,3.0392,4.0,8.0,0.0767,4.0,36.0
30.0,4.1446,4.0,5.0,2.7689,4.0,8.0,0.0751,4.0,38.0
31.0,4.2191,3.0,5.0,2.7553,3.0,8.0,0.0745,3.0,38.0
32.0,3.9036,3.0,5.0,2.502,3.0,7.0,0.0726,3.0,36.0
33.0,4.3271,4.0,5.0,2.8145,4.0,9.0,0.0745,4.0,38.0
