iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0905,3.0,2.0,0.0697,3.0,2.0,0.0044,3.0,2.0
2.0,0.0618,3.0,2.0,0.0425,3.0,3.0,0.0033,3.0,2.0
3.0,0.0491,2.0,2.0,0.0342,2.0,2.0,0.0026,2.0,2.0
4.0,0.0968,4.0,3.0,0.0698,4.0,3.0,0.005,4.0,3.0
5.0,0.0291,2.0,2.0,0.0185,2.0,2.0,0.0019,2.0,2.0
6.0,0.0825,3.0,2.0,0.0589,3.0,2.0,0.0037,3.0,2.0
7.0,0.0609,3.0,2.0,0.0425,3.0,3.0,0.0038,3.0,2.0
8.0,0.0532,2.0,2.0,0.041,2.0,3.0,0.0022,2.0,2.0
9.0,0.1593,5.0,3.0,0.1259,5.0,3.0,0.0066,5.0,3.0
10.0,0.0282,2.0,2.0,0.0187,2.0,2.0,0.0019,2.0,2.0
11.0,0.0309,3.0,2.0,0.0232,3.0,3.0,0.0028,3.0,2.0
12.0,0.0481,3.0,2.0,0.034,3.0,3.0,0.0027,3.0,2.0
13.0,0.0358,2.0,2.0,0.0253,2.0,3.0,0.0022,2.0,2.0
14.0,0.0531,4.0,3.0,0.0405,4.0,3.0,0.0036,4.0,3.0
15.0,0.0658,3.0,2.0,0.0466,3.0,3.0,0.0028,3.0,2.0
16.0,0.0934,4.0,3.0,0.0679,4.0,3.0,0.0042,4.0,3.0
17.0,0.0208,2.0,2.0,0.0125,2.0,3.0,0.0016,2.0,2.0
18.0,0.1115,4.0,2.0,0.0907,4.0,3.0,0.0052,4.0,2.0
19.0,0.0392,2.0,2.0,0.0279,2.0,2.0,0.0022,2.0,2.0
20.0,0.0613,3.0,2.0,0.0446,3.0,2.0,0.0036,3.0,2.0
21.0,0.1131,3.0,2.0,0.0554,3.0,3.0,0.004,3.0,2.0
22.0,0.0729,3.0,2.0,0.0554,3.0,3.0,0.0036,3.0,2.0
23.0,0.0409,2.0,2.0,0.0279,2.0,2.0,0.0022,2.0,2.0
24.0,0.0653,3.0,2.0,0.0518,3.0,3.0,0.0037,3.0,2.0
25.0,0.0402,2.0,2.0,0.0277,2.0,3.0,0.002,2.0,2.0
26.0,0.0296,3.0,2.0,0.021,3.0,3.0,0.0026,3.0,2.0
27.0,0.0831,3.0,2.0,0.0633,3.0,3.0,0.0041,3.0,2.0
28.0,0.0476,2.0,2.0,0.034,2.0,2.0,0.0026,2.0,2.0
29.0,0.0612,3.0,2.0,0.0404,3.0,3.0,0.003,3.0,2.0
30.0,0.0377,2.0,2.0,0.0244,2.0,2.0,0.0022,2.0,2.0
31.0,0.0224,2.0,2.0,0.0143,2.0,3.0,0.0018,2.0,2.0
32.0,0.0328,2.0,2.0,0.0222,2.0,3.0,0.0019,2.0,2.0
33.0,0.0472,2.0,2.0,0.0335,2.0,2.0,0.0022,2.0,2.0
