,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,4.5579,2.0,2.0,4.1043,2.0,3.0,0.0282,2.0,16.0
1,2.0,4.3753,2.0,2.0,3.7607,2.0,3.0,0.0266,2.0,18.0
2,3.0,4.1009,2.0,2.0,3.5868,2.0,2.0,0.0295,2.0,17.0
3,4.0,3.9241,2.0,3.0,3.6638,2.0,3.0,0.0251,2.0,16.0
4,5.0,4.5202,2.0,2.0,3.8421,2.0,3.0,0.0263,2.0,17.0
5,6.0,3.9089,2.0,2.0,3.6828,2.0,4.0,0.0281,2.0,16.0
6,7.0,3.8988,2.0,2.0,3.273,2.0,4.0,0.0281,2.0,16.0
7,8.0,4.2601,2.0,2.0,3.703,2.0,4.0,0.0288,2.0,16.0
8,9.0,4.0052,2.0,2.0,3.6865,2.0,3.0,0.0286,2.0,14.0
9,10.0,4.327,2.0,2.0,3.9782,2.0,3.0,0.0286,2.0,14.0
10,11.0,4.2501,2.0,2.0,3.8672,2.0,3.0,0.028,2.0,18.0
11,12.0,3.9045,2.0,2.0,3.377,2.0,3.0,0.0278,2.0,17.0
12,13.0,4.3689,2.0,2.0,3.796,2.0,3.0,0.0627,2.0,19.0
13,14.0,3.7654,2.0,2.0,3.2139,2.0,2.0,0.0263,2.0,18.0
14,15.0,4.2691,2.0,2.0,3.7451,2.0,3.0,0.0268,2.0,15.0
15,16.0,4.0904,2.0,3.0,3.5759,2.0,3.0,0.0605,2.0,18.0
16,17.0,4.522,2.0,2.0,3.9874,2.0,3.0,0.0282,2.0,16.0
17,18.0,4.241,2.0,2.0,3.791,2.0,3.0,0.0287,2.0,17.0
18,19.0,4.8026,2.0,2.0,4.0923,2.0,3.0,0.0268,2.0,17.0
19,20.0,4.4374,2.0,2.0,3.7752,2.0,3.0,0.026,2.0,14.0
20,21.0,4.3958,2.0,2.0,4.3426,2.0,3.0,0.0301,2.0,19.0
21,22.0,4.544,2.0,2.0,3.91,2.0,4.0,0.0309,2.0,15.0
22,23.0,3.5926,2.0,2.0,3.1717,2.0,3.0,0.0299,2.0,13.0
23,24.0,4.1262,2.0,2.0,3.689,2.0,4.0,0.0297,2.0,16.0
24,25.0,3.9981,2.0,2.0,3.5871,2.0,3.0,0.0303,2.0,16.0
25,26.0,4.1998,2.0,2.0,3.6967,2.0,2.0,0.0226,2.0,14.0
26,27.0,4.5717,2.0,2.0,3.9545,2.0,3.0,0.0353,2.0,16.0
27,28.0,3.9747,2.0,2.0,3.4287,2.0,2.0,0.0318,2.0,16.0
28,29.0,4.4571,2.0,2.0,4.1488,2.0,3.0,0.1368,2.0,18.0
29,30.0,4.0398,2.0,2.0,3.6988,2.0,3.0,0.0272,2.0,17.0
30,31.0,4.2344,2.0,2.0,3.8069,2.0,4.0,0.0289,2.0,16.0
31,32.0,3.8334,2.0,2.0,3.3067,2.0,4.0,0.0268,2.0,16.0
