,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.0051,5.0,5.0,0.0006,5.0,5.0,0.0004,5.0,5.0
1,2.0,0.0011,3.0,3.0,0.0004,3.0,3.0,0.0002,3.0,3.0
2,3.0,0.0014,4.0,6.0,0.0005,4.0,6.0,0.0004,4.0,6.0
3,4.0,0.0015,5.0,4.0,0.0006,5.0,5.0,0.0004,5.0,4.0
4,5.0,0.0016,5.0,6.0,0.0005,5.0,7.0,0.0004,5.0,6.0
5,6.0,0.0011,5.0,5.0,0.0004,5.0,5.0,0.0004,5.0,5.0
6,7.0,0.0013,5.0,5.0,0.0005,5.0,5.0,0.0003,5.0,5.0
7,8.0,0.0013,5.0,5.0,0.0006,5.0,5.0,0.0004,5.0,5.0
8,9.0,0.0014,5.0,5.0,0.0005,5.0,5.0,0.0004,5.0,5.0
9,10.0,0.0013,5.0,5.0,0.0005,5.0,5.0,0.0003,5.0,5.0
10,11.0,0.0013,4.0,6.0,0.0005,4.0,6.0,0.0004,4.0,6.0
11,12.0,0.0014,5.0,6.0,0.0006,5.0,6.0,0.0004,5.0,6.0
12,13.0,0.0015,5.0,5.0,0.0005,5.0,6.0,0.0004,5.0,5.0
13,14.0,0.0013,5.0,5.0,0.0004,5.0,5.0,0.0004,5.0,5.0
14,15.0,0.0013,4.0,4.0,0.0004,4.0,4.0,0.0004,4.0,4.0
15,16.0,0.0011,4.0,4.0,0.0005,4.0,4.0,0.0004,4.0,4.0
16,17.0,0.0011,4.0,4.0,0.0005,4.0,5.0,0.0004,4.0,4.0
17,18.0,0.0013,5.0,4.0,0.0005,5.0,4.0,0.0004,5.0,4.0
18,19.0,0.0013,5.0,4.0,0.0005,5.0,4.0,0.0004,5.0,4.0
19,20.0,0.0015,4.0,6.0,0.0005,4.0,6.0,0.0004,4.0,6.0
20,21.0,0.0012,4.0,5.0,0.0004,4.0,5.0,0.0004,4.0,5.0
21,22.0,0.0014,5.0,5.0,0.0006,5.0,5.0,0.0004,5.0,5.0
22,23.0,0.0012,5.0,4.0,0.0004,5.0,4.0,0.0004,5.0,4.0
23,24.0,0.0012,5.0,4.0,0.0005,5.0,4.0,0.0004,5.0,4.0
24,25.0,0.0013,5.0,7.0,0.0005,5.0,7.0,0.0003,5.0,7.0
25,26.0,0.0013,5.0,6.0,0.0005,5.0,6.0,0.0004,5.0,6.0
26,27.0,0.0017,4.0,6.0,0.0006,4.0,6.0,0.0003,4.0,6.0
27,28.0,0.0014,5.0,5.0,0.0005,5.0,5.0,0.0004,5.0,5.0
28,29.0,0.0015,4.0,5.0,0.0005,4.0,5.0,0.0003,4.0,5.0
29,30.0,0.0014,5.0,4.0,0.0005,5.0,5.0,0.0004,5.0,4.0
30,31.0,0.0014,4.0,6.0,0.0006,4.0,6.0,0.0004,4.0,6.0
31,32.0,0.0025,5.0,4.0,0.0009,5.0,4.0,0.0004,5.0,4.0
32,1.0,0.0019,5.0,5.0,0.0008,5.0,6.0,0.0006,5.0,5.0
33,2.0,0.0019,5.0,5.0,0.0007,5.0,5.0,0.0005,5.0,5.0
34,3.0,0.0019,5.0,6.0,0.0008,5.0,6.0,0.0006,5.0,6.0
35,4.0,0.0021,5.0,5.0,0.0007,5.0,5.0,0.0006,5.0,5.0
36,5.0,0.0019,5.0,6.0,0.0007,5.0,7.0,0.0005,5.0,6.0
37,6.0,0.0021,5.0,5.0,0.0008,5.0,6.0,0.0005,5.0,5.0
38,7.0,0.002,4.0,5.0,0.0008,4.0,6.0,0.0006,4.0,5.0
39,8.0,0.0019,5.0,6.0,0.0007,5.0,6.0,0.0006,5.0,6.0
40,9.0,0.0016,5.0,5.0,0.0006,5.0,6.0,0.0006,5.0,5.0
41,10.0,0.002,5.0,5.0,0.0008,5.0,6.0,0.0005,5.0,5.0
42,11.0,0.0018,5.0,6.0,0.0007,5.0,6.0,0.0005,5.0,6.0
43,12.0,0.0018,5.0,5.0,0.0008,5.0,5.0,0.0006,5.0,5.0
44,13.0,0.0021,5.0,5.0,0.0008,5.0,6.0,0.0005,5.0,5.0
45,14.0,0.0016,5.0,6.0,0.0007,5.0,7.0,0.0005,5.0,6.0
46,15.0,0.0022,5.0,5.0,0.0008,5.0,5.0,0.0007,5.0,5.0
47,16.0,0.0024,5.0,6.0,0.0009,5.0,6.0,0.0006,5.0,6.0
48,17.0,0.0026,5.0,6.0,0.001,5.0,7.0,0.0005,5.0,6.0
49,18.0,0.0019,4.0,6.0,0.0007,4.0,7.0,0.0005,4.0,6.0
50,19.0,0.0022,5.0,6.0,0.0008,5.0,7.0,0.0007,5.0,6.0
51,20.0,0.0018,4.0,6.0,0.0007,4.0,6.0,0.0007,4.0,6.0
52,21.0,0.0024,5.0,5.0,0.0008,5.0,6.0,0.0006,5.0,5.0
53,22.0,0.0024,5.0,6.0,0.0008,5.0,7.0,0.0005,5.0,6.0
54,23.0,0.0018,5.0,6.0,0.0007,5.0,6.0,0.0007,5.0,6.0
