iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0878,5.0,39.0,0.0544,5.0,43.0,0.0363,5.0,51.0
2.0,0.0843,5.0,42.0,0.0519,5.0,45.0,0.0357,5.0,52.0
3.0,0.0858,5.0,38.0,0.0529,5.0,41.0,0.0372,5.0,51.0
4.0,0.0843,5.0,39.0,0.0531,5.0,43.0,0.0359,5.0,53.0
5.0,0.0831,5.0,40.0,0.051,5.0,44.0,0.0354,5.0,51.0
6.0,0.0853,5.0,39.0,0.0526,5.0,41.0,0.0365,5.0,51.0
7.0,0.1284,5.0,41.0,0.0519,5.0,44.0,0.0353,5.0,52.0
8.0,0.0873,5.0,40.0,0.0567,5.0,43.0,0.041,5.0,53.0
9.0,0.0851,5.0,41.0,0.0508,5.0,43.0,0.0389,5.0,52.0
10.0,0.0838,5.0,42.0,0.0515,5.0,45.0,0.0378,5.0,50.0
11.0,0.0853,5.0,39.0,0.0517,5.0,42.0,0.0378,5.0,52.0
12.0,0.0859,5.0,41.0,0.0565,5.0,45.0,0.0369,5.0,52.0
13.0,0.0877,5.0,40.0,0.0537,5.0,44.0,0.037,5.0,52.0
14.0,0.0855,5.0,39.0,0.0508,5.0,43.0,0.0367,5.0,53.0
15.0,0.1238,5.0,41.0,0.052,5.0,45.0,0.0348,5.0,49.0
16.0,0.0884,5.0,40.0,0.0531,5.0,43.0,0.0368,5.0,53.0
17.0,0.0852,5.0,39.0,0.0502,5.0,45.0,0.038,5.0,51.0
18.0,0.0869,5.0,38.0,0.0533,5.0,41.0,0.0375,5.0,50.0
19.0,0.0865,5.0,37.0,0.053,5.0,39.0,0.0384,5.0,54.0
20.0,0.0874,5.0,39.0,0.0546,5.0,42.0,0.0395,5.0,50.0
21.0,0.0851,5.0,38.0,0.051,5.0,42.0,0.0361,5.0,50.0
22.0,0.091,5.0,39.0,0.0528,5.0,43.0,0.0367,5.0,51.0
23.0,0.0852,5.0,40.0,0.0541,5.0,43.0,0.0367,5.0,50.0
24.0,0.0854,5.0,38.0,0.0529,5.0,42.0,0.0365,5.0,55.0
25.0,0.0846,5.0,41.0,0.0522,5.0,43.0,0.0356,5.0,52.0
26.0,0.089,5.0,41.0,0.0547,5.0,45.0,0.0399,5.0,54.0
27.0,0.0867,5.0,43.0,0.0518,5.0,44.0,0.0362,5.0,55.0
28.0,0.0851,5.0,40.0,0.0531,5.0,41.0,0.0355,5.0,50.0
29.0,0.0874,5.0,41.0,0.0544,5.0,43.0,0.0365,5.0,52.0
30.0,0.1318,5.0,40.0,0.0544,5.0,42.0,0.0386,5.0,54.0
31.0,0.0861,5.0,38.0,0.0539,5.0,41.0,0.0382,5.0,54.0
32.0,0.0866,5.0,39.0,0.053,5.0,41.0,0.0381,5.0,53.0
33.0,0.0852,5.0,40.0,0.0536,5.0,44.0,0.0364,5.0,54.0
